query,new_result,score,result
lentils and lamb,Indian,1,Caribbean
lentils and lamb,Indian,1,Barbeque
lentils and lamb,Indian,2,Indian
lentils and lamb,Indian,3,Middle Eastern
lobster,Seafood,1,Japanese
lobster,Seafood,3,Seafood
mac and cheese,Cajun/Creole,3,Burgers
mac and cheese,Cajun/Creole,1,Latin American
mac and cheese,Cajun/Creole,1,Seafood
mac and cheese,Cajun/Creole,1,Cajun/Creole
mac and cheese,Cajun/Creole,2,Food Trucks
mac and cheese,Cajun/Creole,3,Gastropubs
mongolian,Indian,1,Vietnamese
mongolian,Indian,1,Portuguese
mongolian,Indian,3,Chinese
naan,Indian,2,Mediterranean
naan,Indian,3,Halal
naan,Indian,3,Indian
noodle bowl,Korean,2,Chinese
noodle bowl,Korean,2,Korean
noodle bowl,Korean,3,Vietnamese
noodle bowl,Korean,3,Noodles
pad thai,Thai,1,Indian
pad thai,Thai,1,Vietnamese
pad thai,Thai,1,Filipino
pad thai,Thai,1,Chinese
pad thai,Thai,3,Noodles
pad thai,Thai,3,Thai
paneer saag,Indian,3,Pakistani
paneer saag,Indian,3,Indian
pasta,Italian,1,Soup
pasta,Italian,2,Mediterranean
pasta,Italian,3,Noodles
pasta,Italian,3,Italian
pastry with goat filling,Indian,1,Diners
pastry with goat filling,Indian,1,Vegan
pastry with goat filling,Indian,1,Canadian (New)
pastry with goat filling,Indian,1,American (New)
pastry with goat filling,Indian,2,Desserts
pastry with goat filling,Indian,2,Mediterranean
pastry with goat filling,Indian,3,Caribbean
pastry with goat filling,Indian,3,Indian
pepperoni,Pizza,1,Mediterranean
pepperoni,Pizza,3,Pizza
pho,Vietnamese,3,Vietnamese
plantains,Latin American,1,Food Trucks
plantains,Latin American,2,Mexican
plantains,Latin American,3,Caribbean
plantains,Latin American,3,Latin American
pork buns,Chinese,1,Barbeque
pork buns,Chinese,2,Korean
pork buns,Chinese,2,Vietnamese
pork buns,Chinese,3,Dim Sum
pork buns,Chinese,3,Chinese
poutine with gravy and bacon,Diners,1,Latin American
poutine with gravy and bacon,Diners,2,Food Trucks
poutine with gravy and bacon,Diners,3,Diners
poutine with gravy and bacon,Diners,3,Burgers
pulled pork,Barbeque,2,Mexican
pulled pork,Barbeque,2,Food Trucks
pulled pork,Barbeque,2,Burgers
pulled pork,Barbeque,2,Latin American
pulled pork,Barbeque,3,Barbeque
ravioli,Tapas Bars,1,Soup
ravioli,Tapas Bars,2,Mediterranean
ravioli,Tapas Bars,3,Italian
reuben,Delis,1,Burgers
reuben,Delis,1,Barbeque
reuben,Delis,1,Mediterranean
reuben,Delis,2,Food Stands
reuben,Delis,3,Delis
rice and beans,Mexican,3,Caribbean
rice and beans,Mexican,3,Latin American
rice and beans,Mexican,3,Mexican
salad bar,Tapas Bars,2,Soup
salad bar,Tapas Bars,2,Mediterranean
salad bar,Tapas Bars,2,Tapas Bars
salad bar,Tapas Bars,3,Salad
samosas,Indian,3,Pakistani
samosas,Indian,3,Indian
sashimi,Sushi Bars,3,Japanese
sashimi,Sushi Bars,3,Sushi Bars
sauerkraut,Delis,1,Barbeque
sauerkraut,Delis,1,Korean
sauerkraut,Delis,3,German
sauerkraut,Delis,3,Delis
small plates and wine,Tapas Bars,1,Seafood
small plates and wine,Tapas Bars,1,Barbeque
small plates and wine,Tapas Bars,1,Irish
small plates and wine,Tapas Bars,3,Tapas/Small Plates
small plates and wine,Tapas Bars,3,Tapas Bars
smoked fish,Seafood,1,Japanese
smoked fish,Seafood,2,British
smoked fish,Seafood,2,Barbeque
smoked fish,Seafood,2,Cajun/Creole
smoked fish,Seafood,3,Seafood
smoked salmon,Tapas Bars,1,Japanese
smoked salmon,Tapas Bars,1,Latin American
smoked salmon,Tapas Bars,2,French
smoked salmon,Tapas Bars,2,Barbeque
smoked salmon,Tapas Bars,2,Sushi Bars
smoked salmon,Tapas Bars,2,Tapas Bars
smoked salmon,Tapas Bars,3,Seafood
Somalian,African,1,Thai
Somalian,African,1,Portuguese
Somalian,African,2,Middle Eastern
Somalian,African,2,Halal
Somalian,African,3,African
spaghetti and meatballs,Italian,1,Soup
spaghetti and meatballs,Italian,2,Mediterranean
spaghetti and meatballs,Italian,3,Italian
spicy black beans,Mexican,1,Indian
spicy black beans,Mexican,1,Noodles
spicy black beans,Mexican,1,Thai
spicy black beans,Mexican,1,Korean
spicy black beans,Mexican,1,Chinese
spicy black beans,Mexican,2,Caribbean
spicy black beans,Mexican,2,Asian Fusion
spicy black beans,Mexican,3,Tex-Mex
spicy black beans,Mexican,3,Latin American
spicy chillies,Thai,1,Indian
spicy chillies,Thai,1,Noodles
spicy chillies,Thai,2,Vietnamese
spicy chillies,Thai,2,Caribbean
spicy chillies,Thai,2,Thai
spicy chillies,Thai,2,Asian Fusion
spicy chillies,Thai,2,Korean
spicy chillies,Thai,3,Latin American
spicy grean beans,Latin American,2,Thai
spicy grean beans,Latin American,2,Korean
spicy grean beans,Latin American,3,Sushi Bars
spicy green beans,Mexican,1,Indian
spicy green beans,Mexican,1,Caribbean
spicy green beans,Mexican,1,Latin American
spicy green beans,Mexican,1,Asian Fusion
spicy meatballs,Asian Fusion,1,Indian
spicy meatballs,Asian Fusion,1,Caribbean
spicy meatballs,Asian Fusion,1,Latin American
spicy meatballs,Asian Fusion,1,Thai
spicy meatballs,Asian Fusion,2,Noodles
spicy meatballs,Asian Fusion,2,Asian Fusion
spicy meatballs,Asian Fusion,2,Korean
spicy meatballs,Asian Fusion,3,Italian
spicy stir-fry,Chinese,1,Indian
spicy stir-fry,Chinese,1,Caribbean
spicy stir-fry,Chinese,2,Noodles
spicy stir-fry,Chinese,3,Thai
spicy stir-fry,Chinese,3,Latin American
spicy stir-fry,Chinese,3,Asian Fusion
spicy stir-fry,Chinese,3,Korean
spicy stir-fry,Chinese,3,Chinese
spicy tomato-based sauce,Canadian (New),1,Thai
spicy tomato-based sauce,Canadian (New),1,Asian Fusion
spicy tomato-based sauce,Canadian (New),1,Korean
spicy tomato-based sauce,Canadian (New),2,Caribbean
spicy tomato-based sauce,Canadian (New),2,Latin American
spicy tomato-based sauce,Canadian (New),3,Spanish
spicy tomato-based sauce,Canadian (New),3,Italian
sweet basil,Thai,1,Caribbean
sweet basil,Thai,1,Desserts
sweet basil,Thai,1,Barbeque
sweet basil,Thai,1,Canadian (New)
sweet basil,Thai,1,American (New)
sweet basil,Thai,2,Noodles
sweet basil,Thai,2,Italian
sweet basil,Thai,3,Thai
sweet potato fries,Cajun/Creole,1,Latin American
sweet potato fries,Cajun/Creole,2,Cajun/Creole
sweet potato fries,Cajun/Creole,3,Burgers
sweets,Canadian (New),1,Barbeque
sweets,Canadian (New),1,Noodles
sweets,Canadian (New),1,Canadian (New)
sweets,Canadian (New),2,American (New)
sweets,Canadian (New),3,Desserts
tacos,Mexican,2,Latin American
tacos,Mexican,3,Mexican
tavern with a friendly bartender,Gastropubs,2,Irish
tavern with a friendly bartender,Gastropubs,2,Chicken Wings
tavern with a friendly bartender,Gastropubs,3,Pubs
tavern with a friendly bartender,Gastropubs,3,Gastropubs
thin crust,Pizza,1,Mediterranean
thin crust,Pizza,3,Pizza
truffles,Tapas Bars,1,Desserts
truffles,Tapas Bars,1,Italian
truffles,Tapas Bars,3,French
truffles,Tapas Bars,3,Tapas Bars
unique sushi,Japanese,1,Irish
unique sushi,Japanese,1,Canadian (New)
unique sushi,Japanese,2,Tapas Bars
unique sushi,Japanese,3,Asian Fusion
unique sushi,Japanese,3,Japanese
unlimited shrimp,Buffets,1,Chinese
unlimited shrimp,Buffets,2,Japanese
unlimited shrimp,Buffets,2,Cajun/Creole
unlimited shrimp,Buffets,3,Buffets
vegan cookies,Vegan,1,Coffee & Tea
vegan cookies,Vegan,1,Diners
vegan cookies,Vegan,3,Vegan
vegan cookies,Vegan,3,Desserts
waffles and chocolate,Breakfast & Brunch,1,Vegan
waffles and chocolate,Breakfast & Brunch,2,Diners
waffles and chocolate,Breakfast & Brunch,2,Canadian (New)
waffles and chocolate,Breakfast & Brunch,3,Desserts
waffles and chocolate,Breakfast & Brunch,3,Breakfast & Brunch
"warm food, large portions",Mexican,1,Tapas Bars
"warm food, large portions",Mexican,2,Mediterranean
"warm food, large portions",Mexican,2,Fish & Chips
"warm food, large portions",Mexican,3,Soul Food
"warm food, large portions",Mexican,3,American (New)
watch the game,American (Traditional),1,Portuguese
watch the game,American (Traditional),2,Chicken Wings
watch the game,American (Traditional),2,Canadian (New)
watch the game,American (Traditional),3,Sports Bars
watch the game,American (Traditional),3,American (Traditional)
wine tastings,Tapas Bars,1,Irish
wine tastings,Tapas Bars,2,Tapas/Small Plates
wine tastings,Tapas Bars,2,Spanish
wine tastings,Tapas Bars,3,Wine Bars
wine tastings,Tapas Bars,3,Tapas Bars
yellowtail sashimi,Sushi Bars,3,Japanese
yellowtail sashimi,Sushi Bars,3,Sushi Bars
unique sushi,Japanese,3,Sushi Bars
cocktails,Tapas Bars,1,Buffets
sweets,Canadian (New),1,Thai
corndogs,Mediterranean,3,Burgers
small plates and wine,Tapas Bars,3,Italian
vegan cookies,Vegan,1,Buffets
half sandwich and soup,Mediterranean,1,Chinese
arepa rice,Latin American,3,Mexican
"warm food, large portions",Mexican,3,Mexican
spicy meatballs,Asian Fusion,1,Chinese
spicy grean beans,Latin American,1,Mexican
spicy black beans,Mexican,3,Mexican
greasy spoon big portions,Chinese,2,Chinese
mongolian,Indian,1,Indian
healthy,Mediterranean,1,Chinese
baguette,Delis,3,Sandwiches
chai latte,Cafes,3,Cafes
comfort food,Mexican,2,Indian
sweets,Canadian (New),1,Caribbean
buttery bread,Canadian (New),2,Pizza
lemonade,American (New),2,Salad
lamb curry,Indian,3,Thai
watch the game,American (Traditional),3,Irish
"warm food, large portions",Mexican,3,Italian
spicy tomato-based sauce,Canadian (New),2,Barbeque
mongolian,Indian,1,Thai
corned beef hash,Diners,1,Barbeque
fried chicken,Chinese,2,Barbeque
frozen yogurt smoothie,,1,Mediterranean
spicy tomato-based sauce,,1,Canadian (New)
spicy grean beans,,1,Latin American
ravioli,,1,Tapas Bars
